id,title,link,author,points,comments,posted_time
46633488,Apple Is Fighting for TSMC Capacity as Nvidia Takes Center Stage (culpium.com),vote?id=46633488&how=up&goto=news,speckx,218 points,163 comments,2 hours ago
46632023,25 Years of Wikipedia (wikipedia25.org),vote?id=46632023&how=up&goto=news,easton,179 points,128 comments,4 hours ago
46632768,Show HN: TinyCity – A tiny city SIM for MicroPython (Thumby micro console) (github.com/chrisdiana),vote?id=46632768&how=up&goto=news,inflam52,63 points,11 comments,3 hours ago
46635550,GitHub Incident (githubstatus.com),vote?id=46635550&how=up&goto=news,aggrrrh,13 points,3 comments,20 minutes ago
46627652,The URL shortener that makes your links look as suspicious as possible (creepylink.com),vote?id=46627652&how=up&goto=news,dreadsword,647 points,121 comments,13 hours ago
46622328,Claude Cowork exfiltrates files (promptarmor.com),vote?id=46622328&how=up&goto=news,takira,802 points,351 comments,21 hours ago
46630798,The 3D Software Rendering Technology of 1998's Thief: The Dark Project (2019) (nothings.org),vote?id=46630798&how=up&goto=news,suioir,84 points,36 comments,6 hours ago
46633429,OBS Studio 32.1.0 Beta 1 available (github.com/obsproject),vote?id=46633429&how=up&goto=news,Sean-Der,69 points,18 comments,2 hours ago
46635018,"Americans Overwhelmingly Support Science, but Some Think the U.S. Is Lagging (scientificamerican.com)",vote?id=46635018&how=up&goto=news,beardyw,25 points,15 comments,51 minutes ago
46569640,Sinclair C5 (wikipedia.org),vote?id=46569640&how=up&goto=news,jszymborski,49 points,30 comments,7 hours ago
46632039,"Programming, Evolved: Lessons and Observations (github.com/kulesh)",vote?id=46632039&how=up&goto=news,dnw,25 points,13 comments,4 hours ago
46584523,Z80 Mem­ber­ship Card (sunrise-ev.com),vote?id=46584523&how=up&goto=news,exvi,83 points,25 comments,8 hours ago
46618714,Ask HN: Share your personal website,vote?id=46618714&how=up&goto=news,susam,757 points,2048 comments,1 day ago
46634450,Design and Implementation of Sprites (fly.io),vote?id=46634450&how=up&goto=news,sethev,13 points,discuss,1 hour ago
46616529,Ask HN: How are you doing RAG locally?,vote?id=46616529&how=up&goto=news,tmaly,302 points,122 comments,15 hours ago
46631276,Jiga (YC W21) Is Hiring Full Stack Engineers (jiga.io),https://jiga.io/about-us,N/A,0,hide,5 hours ago
46629682,Raspberry Pi's New AI Hat Adds 8GB of RAM for Local LLMs (jeffgeerling.com),vote?id=46629682&how=up&goto=news,ingve,203 points,165 comments,8 hours ago
46581431,Show HN: Voice Composer – Browser-based pitch detection to MIDI/strudel/tidal (dioptre.github.io),vote?id=46581431&how=up&goto=news,dioptre,24 points,3 comments,3 hours ago
46631728,The 500k-ton typo: Why data center copper math doesn't add up (investinglive.com),vote?id=46631728&how=up&goto=news,thebeardisred,80 points,114 comments,4 hours ago
46624541,Scaling long-running autonomous coding (cursor.com),vote?id=46624541&how=up&goto=news,samwillis,252 points,159 comments,19 hours ago
46558224,San Remo Pasta Measurer (toxel.com),vote?id=46558224&how=up&goto=news,surprisetalk,45 points,39 comments,7 hours ago
46624658,Crafting Interpreters (craftinginterpreters.com),vote?id=46624658&how=up&goto=news,tosh,197 points,43 comments,18 hours ago
46619464,Ask HN: What did you find out or explore today?,vote?id=46619464&how=up&goto=news,blahaj,164 points,291 comments,14 hours ago
46633574,Found: Medieval Cargo Ship – Largest Vessel of Its Kind Ever (smithsonianmag.com),vote?id=46633574&how=up&goto=news,bookofjoe,4 points,discuss,2 hours ago
46629964,"Python: Tprof, a Targeting Profiler (adamj.eu)",vote?id=46629964&how=up&goto=news,jonatron,55 points,3 comments,8 hours ago
46626836,Bubblewrap: A nimble way to prevent agents from accessing your .env files (patrickmccanna.net),vote?id=46626836&how=up&goto=news,0o_MrPatrick_o0,155 points,114 comments,15 hours ago
46624352,The State of OpenSSL for pyca/cryptography (cryptography.io),vote?id=46624352&how=up&goto=news,SGran,188 points,47 comments,19 hours ago
46628397,Handy – Free open source speech-to-text app (github.com/cjpais),vote?id=46628397&how=up&goto=news,tin7in,160 points,88 comments,11 hours ago
46632004,"French Court Orders Popular VPNs to Block More Pirate Sites, Despite Opposition (torrentfreak.com)",vote?id=46632004&how=up&goto=news,iamnothere,93 points,64 comments,4 hours ago
46619614,Show HN: Sparrow-1 – Audio-native model for human-level turn-taking without ASR (tavus.io),vote?id=46619614&how=up&goto=news,code_brian,98 points,34 comments,13 hours ago
46561341,Show HN: WebTiles – create a tiny 250x250 website with neighbors around you (kicya.net),vote?id=46561341&how=up&goto=news%3Fp%3D2,dimden,215 points,34 comments,21 hours ago
46587284,Impeccable Style (impeccable.style),vote?id=46587284&how=up&goto=news%3Fp%3D2,noemit,70 points,44 comments,5 hours ago
46623761,Sun Position Calculator (drajmarsh.bitbucket.io),vote?id=46623761&how=up&goto=news%3Fp%3D2,sanbor,145 points,29 comments,19 hours ago
46633378,The Palantir app helping ICE raids in Minneapolis (404media.co),vote?id=46633378&how=up&goto=news%3Fp%3D2,fajmccain,446 points,404 comments,2 hours ago
46616481,Show HN: Webctl – Browser automation for agents based on CLI instead of MCP (github.com/cosinusalpha),vote?id=46616481&how=up&goto=news%3Fp%3D2,cosinusalpha,111 points,33 comments,21 hours ago
46564866,Bare metal programming with RISC-V guide (2023) (popovicu.com),vote?id=46564866&how=up&goto=news%3Fp%3D2,todsacerdoti,50 points,9 comments,11 hours ago
46626410,Furiosa: 3.5x efficiency over H100s (furiosa.ai),vote?id=46626410&how=up&goto=news%3Fp%3D2,written-beyond,199 points,140 comments,16 hours ago
46626210,New Safari developer tools provide insight into CSS Grid Lanes (webkit.org),vote?id=46626210&how=up&goto=news%3Fp%3D2,feross,106 points,57 comments,13 hours ago
46553556,Test your square brackets (fluca1978.github.io),vote?id=46553556&how=up&goto=news%3Fp%3D2,speckx,65 points,56 comments,6 hours ago
46569175,Is Rust faster than C? (steveklabnik.com),vote?id=46569175&how=up&goto=news%3Fp%3D2,vincentchau,294 points,350 comments,1 day ago
46618503,Project SkyWatch (a.k.a. Wescam at Home) (ianservin.com),vote?id=46618503&how=up&goto=news%3Fp%3D2,jjwiseman,73 points,16 comments,12 hours ago
